3,5,1000,1,, 1371945600.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
0,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.141
1000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.141
2000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.141
3000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.141
4000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.141
5000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.141
6000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.145
7000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.145
8000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.145
9000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.145
10000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.145
11000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.145
12000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.150
13000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.150
14000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.150
15000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.150
16000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.150
17000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.150
18000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.154
19000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.154
20000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.154
21000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.154
22000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.154
23000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.154
24000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.159
25000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.159
26000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.159
27000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.159
28000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.159
29000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.159
30000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.165
31000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.165
32000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,0.000000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4402957.8071,666835.8982,4550862.1942,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.79960514351,0.15030950051,0.0000,2.165
